system_name,hakeem_cited_number,actual_official_number_of_served_text,defect_kind,impact_statement,classification,required_action
نظام المعاملات المدنية,311,312,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (311)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 312,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,312,313,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (312)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 313,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,313,314,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (313)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 314,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,314,315,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (314)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 315,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,315,316,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (315)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 316,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,316,317,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (316)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 317,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,317,318,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (317)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 318,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,318,319,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (318)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 319,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,319,320,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (319)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 320,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,320,321,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (320)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 321,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,321,322,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (321)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 322,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,322,323,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (322)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 323,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,323,324,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (323)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 324,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,324,325,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (324)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 325,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,325,326,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (325)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 326,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,326,327,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (326)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 327,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,327,328,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (327)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 328,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,328,329,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (328)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 329,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,329,330,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (329)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 330,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,330,331,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (330)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 331,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,331,332,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (331)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 332,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,332,333,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (332)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 333,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,333,334,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (333)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 334,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,334,335,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (334)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 335,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,335,336,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (335)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 336,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,336,337,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (336)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 337,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,337,338,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (337)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 338,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,338,339,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (338)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 339,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,339,340,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (339)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 340,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,340,341,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (340)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 341,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,341,342,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (341)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 342,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
نظام المعاملات المدنية,342,343,مزاح,كل استشهاد بـ«نظام المعاملات المدنية، المادة (342)» صادر عن المنصة يعرض فعليًا نصّ المادة الرسمية 343,متأثرة قطعًا,مراجعة قانونية بشرية لكل دراسة استشهدت بهذا الرقم
