layer,storage_role,system_name,stored_article_number,stored_title_or_citation,number_parsed_from_title,issue_type,severity,recommended_action
legal_articles_export.json,Seed,نظام المعاملات المدنية,250,المادة الحادية والخمسون بعد المائتين,251,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 250
legal_articles_export.json,Seed,نظام المعاملات المدنية,251,المادة الثانية والخمسون بعد المائتين,252,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 251
legal_articles_export.json,Seed,نظام المعاملات المدنية,252,المادة الثالثة والخمسون بعد المائتين,253,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 252
legal_articles_export.json,Seed,نظام المعاملات المدنية,253,المادة الرابعة والخمسون بعد المائتين,254,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 253
legal_articles_export.json,Seed,نظام المعاملات المدنية,254,المادة الخامسة والخمسون بعد المائتين,255,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 254
legal_articles_export.json,Seed,نظام المعاملات المدنية,255,المادة السادسة والخمسون بعد المائتين,256,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 255
legal_articles_export.json,Seed,نظام المعاملات المدنية,256,المادة السابعة والخمسون بعد المائتين,257,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 256
legal_articles_export.json,Seed,نظام المعاملات المدنية,257,المادة الثامنة والخمسون بعد المائتين,258,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 257
legal_articles_export.json,Seed,نظام المعاملات المدنية,258,المادة التاسعة والخمسون بعد المائتين,259,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 258
legal_articles_export.json,Seed,نظام المعاملات المدنية,259,المادة الستون بعد المائتين,260,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 259
legal_articles_export.json,Seed,نظام المعاملات المدنية,260,المادة الحادية والستون بعد المائتين,261,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 260
legal_articles_export.json,Seed,نظام المعاملات المدنية,261,المادة الثانية والستون بعد المائتين,262,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 261
legal_articles_export.json,Seed,نظام المعاملات المدنية,262,المادة الثالثة والستون بعد المائتين,263,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 262
legal_articles_export.json,Seed,نظام المعاملات المدنية,263,المادة الرابعة والستون بعد المائتين,264,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 263
legal_articles_export.json,Seed,نظام المعاملات المدنية,264,المادة الخامسة والستون بعد المائتين,265,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 264
legal_articles_export.json,Seed,نظام المعاملات المدنية,265,المادة السادسة والستون بعد المائتين,266,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 265
legal_articles_export.json,Seed,نظام المعاملات المدنية,266,المادة السابعة والستون بعد المائتين,267,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 266
legal_articles_export.json,Seed,نظام المعاملات المدنية,267,المادة الثامنة والستون بعد المائتين,268,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 267
legal_articles_export.json,Seed,نظام المعاملات المدنية,268,المادة التاسعة والستون بعد المائتين,269,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 268
legal_articles_export.json,Seed,نظام المعاملات المدنية,269,المادة السبعون بعد المائتين,270,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 269
legal_articles_export.json,Seed,نظام المعاملات المدنية,270,المادة الحادية والسبعون بعد المائتين,271,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 270
legal_articles_export.json,Seed,نظام المعاملات المدنية,271,المادة الثانية والسبعون بعد المائتين,272,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 271
legal_articles_export.json,Seed,نظام المعاملات المدنية,272,المادة الثالثة والسبعون بعد المائتين,273,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 272
legal_articles_export.json,Seed,نظام المعاملات المدنية,273,المادة الرابعة والسبعون بعد المائتين,274,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 273
legal_articles_export.json,Seed,نظام المعاملات المدنية,274,المادة الخامسة والسبعون بعد المائتين,275,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 274
legal_articles_export.json,Seed,نظام المعاملات المدنية,275,المادة السادسة والسبعون بعد المائتين,276,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 275
legal_articles_export.json,Seed,نظام المعاملات المدنية,276,المادة السابعة والسبعون بعد المائتين,277,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 276
legal_articles_export.json,Seed,نظام المعاملات المدنية,277,المادة الثامنة والسبعون بعد المائتين,278,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 277
legal_articles_export.json,Seed,نظام المعاملات المدنية,278,المادة التاسعة والسبعون بعد المائتين,279,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 278
legal_articles_export.json,Seed,نظام المعاملات المدنية,279,المادة الثمانون بعد المائتين,280,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 279
legal_articles_export.json,Seed,نظام المعاملات المدنية,280,المادة الحادية والثمانون بعد المائتين,281,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 280
legal_articles_export.json,Seed,نظام المعاملات المدنية,281,المادة الثانية والثمانون بعد المائتين,282,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 281
legal_articles_export.json,Seed,نظام المعاملات المدنية,282,المادة الثالثة والثمانون بعد المائتين,283,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 282
legal_articles_export.json,Seed,نظام المعاملات المدنية,283,المادة الرابعة والثمانون بعد المائتين,284,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 283
legal_articles_export.json,Seed,نظام المعاملات المدنية,284,المادة الخامسة والثمانون بعد المائتين,285,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 284
legal_articles_export.json,Seed,نظام المعاملات المدنية,285,المادة السادسة والثمانون بعد المائتين,286,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 285
legal_articles_export.json,Seed,نظام المعاملات المدنية,286,المادة السابعة والثمانون بعد المائتين,287,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 286
legal_articles_export.json,Seed,نظام المعاملات المدنية,287,المادة الثامنة والثمانون بعد المائتين,288,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 287
legal_articles_export.json,Seed,نظام المعاملات المدنية,288,المادة التاسعة والثمانون بعد المائتين,289,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 288
legal_articles_export.json,Seed,نظام المعاملات المدنية,289,المادة التسعون بعد المائتين,290,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 289
legal_articles_export.json,Seed,نظام المعاملات المدنية,290,المادة الحادية والتسعون بعد المائتين,291,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 290
legal_articles_export.json,Seed,نظام المعاملات المدنية,291,المادة الثانية والتسعون بعد المائتين,292,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 291
legal_articles_export.json,Seed,نظام المعاملات المدنية,292,المادة الثالثة والتسعون بعد المائتين,293,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 292
legal_articles_export.json,Seed,نظام المعاملات المدنية,293,المادة الرابعة والتسعون بعد المائتين,294,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 293
legal_articles_export.json,Seed,نظام المعاملات المدنية,294,المادة الخامسة والتسعون بعد المائتين,295,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 294
legal_articles_export.json,Seed,نظام المعاملات المدنية,295,المادة السادسة والتسعون بعد المائتين,296,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 295
legal_articles_export.json,Seed,نظام المعاملات المدنية,296,المادة السابعة والتسعون بعد المائتين,297,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 296
legal_articles_export.json,Seed,نظام المعاملات المدنية,297,المادة الثامنة والتسعون بعد المائتين,298,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 297
legal_articles_export.json,Seed,نظام المعاملات المدنية,298,المادة التاسعة والتسعون بعد المائتين,299,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 298
legal_articles_export.json,Seed,نظام المعاملات المدنية,299,المادة الثلاثمائة,300,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 299
legal_articles_export.json,Seed,نظام المعاملات المدنية,300,المادة الأولى بعد الثلاثمائة,301,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 300
legal_articles_export.json,Seed,نظام المعاملات المدنية,301,المادة الثانية بعد الثلاثمائة,302,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 301
legal_articles_export.json,Seed,نظام المعاملات المدنية,302,المادة الثالثة بعد الثلاثمائة,303,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 302
legal_articles_export.json,Seed,نظام المعاملات المدنية,303,المادة الرابعة بعد الثلاثمائة,304,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 303
legal_articles_export.json,Seed,نظام المعاملات المدنية,304,المادة الخامسة بعد الثلاثمائة,305,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 304
legal_articles_export.json,Seed,نظام المعاملات المدنية,305,المادة السادسة بعد الثلاثمائة,306,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 305
legal_articles_export.json,Seed,نظام المعاملات المدنية,306,المادة السابعة بعد الثلاثمائة,307,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 306
legal_articles_export.json,Seed,نظام المعاملات المدنية,307,المادة الثامنة بعد الثلاثمائة,308,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 307
legal_articles_export.json,Seed,نظام المعاملات المدنية,308,المادة التاسعة بعد الثلاثمائة,309,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 308
legal_articles_export.json,Seed,نظام المعاملات المدنية,309,المادة العاشرة بعد الثلاثمائة,310,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 309
legal_articles_export.json,Seed,نظام المعاملات المدنية,310,المادة الحادية عشرة بعد الثلاثمائة,311,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 310
legal_articles_export.json,Seed,نظام المعاملات المدنية,311,المادة الثانية عشرة بعد الثلاثمائة,312,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 311
legal_articles_export.json,Seed,نظام المعاملات المدنية,312,المادة الثالثة عشرة بعد الثلاثمائة,313,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 312
legal_articles_export.json,Seed,نظام المعاملات المدنية,313,المادة الرابعة عشرة بعد الثلاثمائة,314,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 313
legal_articles_export.json,Seed,نظام المعاملات المدنية,314,المادة الخامسة عشرة بعد الثلاثمائة,315,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 314
legal_articles_export.json,Seed,نظام المعاملات المدنية,315,المادة السادسة عشرة بعد الثلاثمائة,316,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 315
legal_articles_export.json,Seed,نظام المعاملات المدنية,316,المادة السابعة عشرة بعد الثلاثمائة,317,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 316
legal_articles_export.json,Seed,نظام المعاملات المدنية,317,المادة الثامنة عشرة بعد الثلاثمائة,318,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 317
legal_articles_export.json,Seed,نظام المعاملات المدنية,318,المادة التاسعة عشرة بعد الثلاثمائة,319,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 318
legal_articles_export.json,Seed,نظام المعاملات المدنية,319,المادة العشرون بعد الثلاثمائة,320,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 319
legal_articles_export.json,Seed,نظام المعاملات المدنية,320,المادة الحادية والعشرون بعد الثلاثمائة,321,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 320
legal_articles_export.json,Seed,نظام المعاملات المدنية,321,المادة الثانية والعشرون بعد الثلاثمائة,322,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 321
legal_articles_export.json,Seed,نظام المعاملات المدنية,322,المادة الثالثة والعشرون بعد الثلاثمائة,323,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 322
legal_articles_export.json,Seed,نظام المعاملات المدنية,323,المادة الرابعة والعشرون بعد الثلاثمائة,324,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 323
legal_articles_export.json,Seed,نظام المعاملات المدنية,324,المادة الخامسة والعشرون بعد الثلاثمائة,325,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 324
legal_articles_export.json,Seed,نظام المعاملات المدنية,325,المادة السادسة والعشرون بعد الثلاثمائة,326,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 325
legal_articles_export.json,Seed,نظام المعاملات المدنية,326,المادة السابعة والعشرون بعد الثلاثمائة,327,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 326
legal_articles_export.json,Seed,نظام المعاملات المدنية,327,المادة الثامنة والعشرون بعد الثلاثمائة,328,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 327
legal_articles_export.json,Seed,نظام المعاملات المدنية,328,المادة التاسعة والعشرون بعد الثلاثمائة,329,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 328
legal_articles_export.json,Seed,نظام المعاملات المدنية,329,المادة الثلاثون بعد الثلاثمائة,330,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 329
legal_articles_export.json,Seed,نظام المعاملات المدنية,330,المادة الحادية والثلاثون بعد الثلاثمائة,331,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 330
legal_articles_export.json,Seed,نظام المعاملات المدنية,331,المادة الثانية والثلاثون بعد الثلاثمائة,332,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 331
legal_articles_export.json,Seed,نظام المعاملات المدنية,332,المادة الثالثة والثلاثون بعد الثلاثمائة,333,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 332
legal_articles_export.json,Seed,نظام المعاملات المدنية,333,المادة الرابعة والثلاثون بعد الثلاثمائة,334,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 333
legal_articles_export.json,Seed,نظام المعاملات المدنية,334,المادة الخامسة والثلاثون بعد الثلاثمائة,335,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 334
legal_articles_export.json,Seed,نظام المعاملات المدنية,335,المادة السادسة والثلاثون بعد الثلاثمائة,336,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 335
legal_articles_export.json,Seed,نظام المعاملات المدنية,336,المادة السابعة والثلاثون بعد الثلاثمائة,337,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 336
legal_articles_export.json,Seed,نظام المعاملات المدنية,337,المادة الثامنة والثلاثون بعد الثلاثمائة,338,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 337
legal_articles_export.json,Seed,نظام المعاملات المدنية,338,المادة التاسعة والثلاثون بعد الثلاثمائة,339,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 338
legal_articles_export.json,Seed,نظام المعاملات المدنية,339,المادة الأربعون بعد الثلاثمائة,340,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 339
legal_articles_export.json,Seed,نظام المعاملات المدنية,340,المادة الحادية والأربعون بعد الثلاثمائة,341,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 340
legal_articles_export.json,Seed,نظام المعاملات المدنية,341,المادة الثانية والأربعون بعد الثلاثمائة,342,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 341
legal_articles_export.json,Seed,نظام المعاملات المدنية,342,المادة الثالثة والأربعون بعد الثلاثمائة,343,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 342
legal_articles_export.json,Seed,نظام المعاملات المدنية,343,المادة الرابعة والأربعون بعد الثلاثمائة,344,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 343
legal_articles_export.json,Seed,نظام المعاملات المدنية,344,المادة الخامسة والأربعون بعد الثلاثمائة,345,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 344
legal_articles_export.json,Seed,نظام المعاملات المدنية,345,المادة السادسة والأربعون بعد الثلاثمائة,346,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 345
legal_articles_export.json,Seed,نظام المعاملات المدنية,346,المادة السابعة والأربعون بعد الثلاثمائة,347,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 346
legal_articles_export.json,Seed,نظام المعاملات المدنية,347,المادة الثامنة والأربعون بعد الثلاثمائة,348,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 347
legal_articles_export.json,Seed,نظام المعاملات المدنية,348,المادة التاسعة والأربعون بعد الثلاثمائة,349,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 348
legal_articles_export.json,Seed,نظام المعاملات المدنية,349,المادة الخمسون بعد الثلاثمائة,350,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 349
legal_articles_export.json,Seed,نظام المعاملات المدنية,350,المادة الحادية والخمسون بعد الثلاثمائة,351,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 350
legal_articles_export.json,Seed,نظام المعاملات المدنية,351,المادة الثانية والخمسون بعد الثلاثمائة,352,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 351
legal_articles_export.json,Seed,نظام المعاملات المدنية,352,المادة الثالثة والخمسون بعد الثلاثمائة,353,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 352
legal_articles_export.json,Seed,نظام المعاملات المدنية,353,المادة الرابعة والخمسون بعد الثلاثمائة,354,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 353
legal_articles_export.json,Seed,نظام المعاملات المدنية,354,المادة الخامسة والخمسون بعد الثلاثمائة,355,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 354
legal_articles_export.json,Seed,نظام المعاملات المدنية,355,المادة السادسة والخمسون بعد الثلاثمائة,356,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 355
legal_articles_export.json,Seed,نظام المعاملات المدنية,356,المادة السابعة والخمسون بعد الثلاثمائة,357,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 356
legal_articles_export.json,Seed,نظام المعاملات المدنية,357,المادة الثامنة والخمسون بعد الثلاثمائة,358,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 357
legal_articles_export.json,Seed,نظام المعاملات المدنية,358,المادة التاسعة والخمسون بعد الثلاثمائة,359,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 358
legal_articles_export.json,Seed,نظام المعاملات المدنية,359,المادة الستون بعد الثلاثمائة,360,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 359
legal_articles_export.json,Seed,نظام المعاملات المدنية,360,المادة الحادية والستون بعد الثلاثمائة,361,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 360
legal_articles_export.json,Seed,نظام المعاملات المدنية,361,المادة الثانية والستون بعد الثلاثمائة,362,رقم المادة لا يطابق العدد الترتيبي في عنوانها,حرجة,استبدال النص بالنص الرسمي رقم 361
