system_name,articles_in_index,max_article_number,gap_count,gap_sample,duplicate_numbers,duplicate_text_groups,late_appended_articles,status,issues
نظام المركز الوطني للوثائق والمحفوظات,12,12,0,,,,,سليم ظاهريًا,
نظام مكتبة الملك عبد العزيز العامة,22,22,0,,,,,سليم ظاهريًا,
نظام المطبوعات والنشر,49,49,0,,,,,سليم ظاهريًا,
نظام المؤسسات الصحفية,30,30,0,,,,,سليم ظاهريًا,
نظام حماية حقوق المؤلف,28,28,0,,,,,سليم ظاهريًا,
نظام مكتبة الملك فهد الوطنية,12,12,0,,,,,سليم ظاهريًا,
نظام الإيداع,7,7,0,,,,,سليم ظاهريًا,
قواعد تنظيم لوحات الدعاية والإعلان,20,20,0,,,,,سليم ظاهريًا,
تنظيم مركز الملك عبد الله بن عبد العزيز الدولي لخدمة اللغة العربية,15,15,0,,,,,سليم ظاهريًا,
نظام عقوبات نشر الوثائق والمعلومات السرية وإفشائها,12,12,0,,,,,سليم ظاهريًا,
تنظيم هيئة الإذاعة والتلفزيون,17,17,0,,,,,سليم ظاهريًا,
تنظيم وكالة الأنباء السعودية1433هـ,15,15,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العامة للإعلام المرئي والمسموع,18,18,0,,,,,سليم ظاهريًا,
تنظيم اللجنة الوطنية لمتابعة مبادرة خادم الحرمين الشريفين الملك عبدالله بن عبدالعزيز آل سعود للحوار بين أتباع الأديان والثقافات,7,7,0,,,,,سليم ظاهريًا,
نظام الإعلام المرئي والمسموع,25,25,0,,,,,سليم ظاهريًا,
تنظيم دارة الملك عبدالعزيز,16,16,0,,,,,سليم ظاهريًا,
تنظيم مجمع الملك سلمان العالمي للغة العربية,18,18,0,,,,,سليم ظاهريًا,
نظام صندوق التنمية الثقافي,15,15,0,,,,,سليم ظاهريًا,
الترتيبات التنظيمية للمعهد الملكي للفنون التقليدية,14,14,0,,,,,سليم ظاهريًا,
تنظيم مركز الملك عبدالله بن عبد العزيز للتخطيط والسياسات اللغوية,15,15,0,,,,,سليم ظاهريًا,
تنظيم وكالة الأنباء السعودية,16,16,0,,,,,سليم ظاهريًا,
تنظيم المعهد الملكي للفنون التقليدية,16,16,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العامة لتنظيم الإعلام,16,16,0,,,,,سليم ظاهريًا,
النظام الجزائي لجرائم التزوير,30,30,0,,,,,سليم ظاهريًا,
نظام جوازات السفر السياسية والخاصة,16,16,0,,,,,سليم ظاهريًا,
نظام السجن والتوقيف,31,31,0,,,,,سليم ظاهريًا,
نظام عقوبات انتحال صفة رجل السلطة العامة,6,6,0,,,,,سليم ظاهريًا,
نظام مكافحة الرشوة,23,23,0,,,,,سليم ظاهريًا,
نظام وثائق السفر,16,16,0,,,,,سليم ظاهريًا,
نظام مكافحة المخدرات والمؤثرات العقلية,74,74,0,,,,,سليم ظاهريًا,
نظام المتفجرات والمفرقعات,31,31,0,,,,,سليم ظاهريًا,
نظام المرور,85,85,0,,,,,سليم ظاهريًا,
نظام الجنسية العربية السعودية,30,30,0,,,,,سليم ظاهريًا,
النظام الجزائي الخاص بتزييف وتقليد النقود,15,15,0,,,,,سليم ظاهريًا,
نظام استبدال الغرامة بالحبس,4,4,0,,,,,سليم ظاهريًا,
نظام أمن الحدود,6,6,0,,,,,سليم ظاهريًا,
نظام الدفاع المدني,36,36,0,,,,,سليم ظاهريًا,
نظام الأحوال المدنية,96,96,0,,,,,سليم ظاهريًا,
نظام الحراسة الأمنية المدنية الخاصة,15,15,0,,,,,سليم ظاهريًا,
نظام الأسلحة والذخائر,63,63,0,,,,,سليم ظاهريًا,
نظام مزاولة نقل النقود والمعادن الثمينة والمستندات ذات القيمة,17,17,0,,,,,سليم ظاهريًا,
تنظيم اللجنة الوطنية لمكافحة المخدرات,26,26,0,,,,,سليم ظاهريًا,
اللائحة التنفيذية لنظام مكافحة المخدرات والمؤثرات العقلية,40,40,0,,,,,سليم ظاهريًا,
النظام الأساسي لمركز المعلومات الجنائية لمكافحة المخدرات لمجلس التعاون لدول الخليج العربية,18,18,0,,,,,سليم ظاهريًا,
تنظيم المؤسسة العامة للصناعات العسكرية,20,20,0,,,,,سليم ظاهريًا,
نظام نقل معلومات المتعاملين مع المنشآت الخاصة إلكترونياً إلى مركز المعلومات الوطني في وزارة الداخلية (نظام شموس الأمني),14,14,0,,,,,سليم ظاهريًا,
تنظيم صندوق الشهداء والمصابين والأسرى والمفقودين,15,15,0,,,,,سليم ظاهريًا,
نظام حماية المبلغين والشهود والخبراء والضحايا,37,37,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العامة للجمارك,16,16,0,,,,,سليم ظاهريًا,
اللائحة التنفيذية لنظام الإجراءات الجزائية,181,181,0,,,,,سليم ظاهريًا,
اللائحة التنفيذية لنظام مكافحة جرائم الإرهاب وتمويله,26,26,0,,,,,سليم ظاهريًا,
نظام مكافحة جرائم الإرهاب وتمويله,96,96,0,,,,,سليم ظاهريًا,
اللائحة التنظيمية للجان إصلاح ذات البين في إمارات المناطق,16,16,0,,,,,سليم ظاهريًا,
نظام مكافحة جريمة التحرش,8,8,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العامة للصناعات العسكرية,19,19,0,,,,,سليم ظاهريًا,
نظام استخدام وحماية شارة واسم الهلال الأحمر وما في حكمهما,15,15,0,,,,,سليم ظاهريًا,
نظام الإقامة المميزة,14,14,0,,,,,سليم ظاهريًا,
لائحة حقوق وواجبات من يستعان بهم في أعمال الدفاع المدني وعلاقتهم بجهاتهم,12,12,0,,,,,سليم ظاهريًا,
تنظيم الفحص الفني الدوري للمركبات,16,16,0,,,,,سليم ظاهريًا,
نظام مكافحة الاحتيال المالي وخيانة الأمانة,11,11,0,,,,,سليم ظاهريًا,
نظام مكافحة التسول,10,10,0,,,,,سليم ظاهريًا,
نظام حماية البيانات الشخصية,43,43,0,,,,,سليم ظاهريًا,
نظام الإثبات,129,129,0,,,,,سليم ظاهريًا,
تنظيم مركز الإقامة المميزة,14,14,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العليا للأمن الصناعي,16,16,0,,,,,سليم ظاهريًا,
نظام استخدام كاميرات المراقبة الأمنية,18,18,0,,,,,سليم ظاهريًا,
ضوابط إيقاف الخدمات,6,6,0,,,,,سليم ظاهريًا,
نظام الوكالات التجارية,6,6,0,,,,,سليم ظاهريًا,
نظام الاستثمار الأجنبي,18,18,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العامة للاستثمار,14,14,0,,,,,سليم ظاهريًا,
نظام محلات بيع المركبات الملغى تسجيلها,10,10,0,,,,,سليم ظاهريًا,
نظام البيانات التجارية,14,14,0,,,,,سليم ظاهريًا,
نظام العلامات التجارية,58,58,0,,,,,سليم ظاهريًا,
تنظيم المركز السعودي للشراكات الاستراتيجية الدولية,13,13,0,,,,,سليم ظاهريًا,
نظام الهيئة السعودية للمهندسين,9,9,0,,,,,سليم ظاهريًا,
نظام السوق المالية,68,68,0,,,,,سليم ظاهريًا,
نظام مراقبة شركات التأمين التعاوني,25,25,0,,,,,سليم ظاهريًا,
نظام المشاركة بالوقت فى الوحدات العقارية السياحية,12,12,0,,,,,سليم ظاهريًا,
تنظيم هيئة تنمية الصادرات السعودية,15,15,0,,,,,سليم ظاهريًا,
نظام القياس والمعايرة,18,18,0,,,,,سليم ظاهريًا,
نظام الأوراق التجارية,121,121,0,,,,,سليم ظاهريًا,
نظام الصندوق السعودي للتنمية,12,12,0,,,,,سليم ظاهريًا,
نظام الغرف التجارية والصناعية,42,42,0,,,,,سليم ظاهريًا,
نظام الدفاتر التجارية,16,16,0,,,,,سليم ظاهريًا,
نظام المحاسبين القانونيين,38,38,0,,,,,سليم ظاهريًا,
نظام السجل التجاري,20,20,0,,,,,سليم ظاهريًا,
تنظيم المجلس الاقتصادي الأعلى,10,10,0,,,,,سليم ظاهريًا,
نظام الأسماء التجارية,20,20,0,,,,,سليم ظاهريًا,
النظام الأساسي لهيئة المحاسبة والمراجعة لدول مجلس التعاون,35,35,0,,,,,سليم ظاهريًا,
نظام براءات الاختراع لدول مجلس التعاون لدول الخليج العربية,34,34,0,,,,,سليم ظاهريًا,
نظام براءات الاختراع والتصميمات التخطيطية للدارات المتكاملة والأصناف النباتية والنماذج الصناعية,65,65,0,,,,,سليم ظاهريًا,
النظام الأساسي لهيئة التقييس لدول مجلس التعاون لدول الخليج العربية,16,16,0,,,,,سليم ظاهريًا,
"القانون ""النظام"" الموحد لمكافحة الإغراق والتدابير التعويضية والوقائية لدول مجلس التعاون لدول الخليج العربية",17,17,0,,,,,سليم ظاهريًا,
نظام استيراد المواد الكيميائية وإدارتها ( نظام إدارة المواد الكيميائية ),18,18,0,,,,,سليم ظاهريًا,
تنظيم هيئة المدن الاقتصادية ( هيئة المدن والمناطق الاقتصادية الخاصة),28,28,0,,,,,سليم ظاهريًا,
تنظيم الهيئة السعودية للمواصفات والمقاييس والجودة,16,16,0,,,,,سليم ظاهريًا,
تنظيم الجمعية السعودية للجودة,12,12,0,,,,,سليم ظاهريًا,
تنظيم اللجنة الوطنية لتقنين أعمال التشغيل والصيانة وتقييسها,9,9,0,,,,,سليم ظاهريًا,
نظام المقيمين المعتمدين,45,45,0,,,,,سليم ظاهريًا,
النظام الأساسي للمركز الإحصائي لدول مجلس التعاون لدول الخليج العربية,20,20,0,,,,,سليم ظاهريًا,
قانون (نظام) العلامات التجارية لدول مجلس التعاون لدول الخليج العربية,52,52,0,,,,,سليم ظاهريًا,
تنظيم جمعية حماية المستهلك,23,23,0,,,,,سليم ظاهريًا,
تنظيم الهيئة السعودية للمقاولين,20,20,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العامة للإحصاء,18,18,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العامة للمنشآت الصغيرة والمتوسطة,15,15,0,,,,,سليم ظاهريًا,
تنظيم المركز الوطني للدراسات الاستراتيجية التنموية,15,15,0,,,,,سليم ظاهريًا,
اللائحة التنفيذية لنظام الإفلاس,98,98,0,,,,,سليم ظاهريًا,
نظام مزاولة المهن الهندسية,17,17,0,,,,,سليم ظاهريًا,
لائحة تفضيل المحتوى المحلي والمنشآت الصغيرة والمتوسطة المحلية والشركات المدرجة في السوق المالية في الأعمال والمشتريات,39,39,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العامة للزكاة والدخل,17,17,0,,,,,سليم ظاهريًا,
نظام ضريبة القيمة المضافة,53,53,0,,,,,سليم ظاهريًا,
لائحة تنظيم سلوكيات وأخلاقيات القائمين على تطبيق نظام المنافسات والمشتريات الحكومية ولائحته التنفيذية,8,8,0,,,,,سليم ظاهريًا,
تنظيم صندوق التنمية الوطني,15,15,0,,,,,سليم ظاهريًا,
لائحة تنظيم تعارض المصالح في تطبيق نظام المنافسات والمشتريات الحكومية ولائحته التنفيذية,12,12,0,,,,,سليم ظاهريًا,
لائحة رقابة ديوان المراقبة العامة على المؤسسات الخاصة والشركات التي تساهم الدولة في رأسمالها أو تضمن لها حدا ادنى من الأرباح (لائحة رقابة الديوان العام للمحاسبة),9,9,0,,,,,سليم ظاهريًا,
تنظيم الهيئة السعودية للملكية الفكرية,15,15,0,,,,,سليم ظاهريًا,
تنظيم المركز الوطني للتنافسية,14,14,0,,,,,سليم ظاهريًا,
تنظيم المركز السعودي للأعمال الاقتصادية,16,16,0,,,,,سليم ظاهريًا,
تنظيم المركز السعودي للتحكيم التجاري,15,15,0,,,,,سليم ظاهريًا,
تنظيم مركز الاسناد والتصفية,15,15,0,,,,,سليم ظاهريًا,
تنظيم المركز السعودي للاعتماد,14,14,0,,,,,سليم ظاهريًا,
نظام التجارة الإلكترونية,26,26,0,,,,,سليم ظاهريًا,
نظام المنافسات و المشتريات الحكومية,99,99,0,,,,,سليم ظاهريًا,
تنظيم المركز الوطني لإدارة الدين,14,14,0,,,,,سليم ظاهريًا,
نظام الامتياز التجاري,27,27,0,,,,,سليم ظاهريًا,
نظام ضمان الحقوق بالأموال المنقولة,29,29,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العامة للتجارة الخارجية,16,16,0,,,,,سليم ظاهريًا,
نظام مكافحة التستر,20,20,0,,,,,سليم ظاهريًا,
قواعد عمل اللجان الإشرافية للقطاعات المستهدفة بالتخصيص ومهماتها (المعدلة),11,11,0,,,,,سليم ظاهريًا,
نظام مكافحة الغش التجاري,30,30,0,,,,,سليم ظاهريًا,
نظام الغرف التجارية,66,66,0,,,,,سليم ظاهريًا,
نظام معالجة المنشآت المالية المهمة,38,38,0,,,,,سليم ظاهريًا,
نظام مهنة المحاسبة والمراجعة,22,22,0,,,,,سليم ظاهريًا,
تنظيم الهيئة السعودية للمراجعين والمحاسبين,14,14,0,,,,,سليم ظاهريًا,
نظام التخصيص,45,45,0,,,,,سليم ظاهريًا,
تنظيم هيئة المحتوى المحلي والمشتريات الحكومية,15,15,0,,,,,سليم ظاهريًا,
تنظيم هيئة الزكاة والضريبة والجمارك,16,16,0,,,,,سليم ظاهريًا,
تنظيم وزارة الاستثمار,5,5,0,,,,,سليم ظاهريًا,
الترتيبات التنظيمية لمركز تنظيم المعدّات الثقيلة,9,9,0,,,,,سليم ظاهريًا,
نظام تصنيف المقاولين,19,19,0,,,,,سليم ظاهريًا,
هيئة كفاءة الإنفاق والمشروعات الحكومية,14,14,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العامة للمنافسة,17,17,0,,,,,سليم ظاهريًا,
نظام المدفوعات وخدماتها,20,20,0,,,,,سليم ظاهريًا,
الترتيبات التنظيمية للهيئة السعودية لتسويق الاستثمار,13,13,0,,,,,سليم ظاهريًا,
نظام بنك المنشآت الصغيرة والمتوسطة,15,15,0,,,,,سليم ظاهريًا,
نظام المعالجات التجارية في التجارة الدولية,37,37,0,,,,,سليم ظاهريًا,
تنظيم هيئة التأمين,15,15,0,,,,,سليم ظاهريًا,
تنظيم المركز الوطني لنظم الموارد الحكومية,15,15,0,,,,,سليم ظاهريًا,
نظام صندوق البنية التحتية الوطني,18,18,0,,,,,سليم ظاهريًا,
نظام الأوسمة السعودية,16,16,0,,,,,سليم ظاهريًا,
نظام العلم للمملكة العربية السعودية,22,22,0,,,,,سليم ظاهريًا,
اللائحة التنفيذية لنظام الأوسمة السعودية,16,16,0,,,,,سليم ظاهريًا,
تنظيم مشاركة الوفود الرسمية في الاجتماعات,12,12,0,,,,,سليم ظاهريًا,
نظام معهد الدراسات الدبلوماسية,12,12,0,,,,,سليم ظاهريًا,
نظام مدينة الملك عبد العزيز للعلوم والتقنية,18,18,0,,,,,سليم ظاهريًا,
نظام مجلس التعليم العالي والجامعات,60,60,0,,,,,سليم ظاهريًا,
نظام إنتاج المواد التعليمية المساعدة وتسويقها,16,16,0,,,,,سليم ظاهريًا,
نظام معهد الإدارة العامة,17,17,0,,,,,سليم ظاهريًا,
تنظيم المؤسسة العامة للتدريب التقني والمهني,13,13,0,,,,,سليم ظاهريًا,
نظام تعليم الكبار ومحو الأمية في المملكة العربية السعودية,24,24,0,,,,,سليم ظاهريًا,
القواعد التنظيمية الخاصة بإنشاء وحدات التدريب غير الربحية في مجال التدريب التقني والمهني,14,14,0,,,,,سليم ظاهريًا,
تنظيم هيئة تقويم التعليم العام,17,17,0,,,,,سليم ظاهريًا,
تنظيم المركز الوطني للتعليم الإلكتروني,12,12,0,,,,,سليم ظاهريًا,
لائحة المدارس الأجنبية,21,21,0,,,,,سليم ظاهريًا,
النظام الأساس لجمعية الكشافة العربية السعودية,34,34,0,,,,,سليم ظاهريًا,
تنظيم هيئة تقويم التعليم والتدريب,18,18,0,,,,,سليم ظاهريًا,
نظام الجامعات,58,58,0,,,,,سليم ظاهريًا,
تنظيم المعهد الوطني للتطوير المهني التعليمي 1441هـ,17,17,0,,,,,سليم ظاهريًا,
النظام الأساس لجامعة الملك سعود (مؤسسة أكاديمية مستقلة غير هادفة للربح),22,22,0,,,,,سليم ظاهريًا,
تنظيم مدينة الملك عبدالعزيز للعلوم والتقنية,14,14,0,,,,,سليم ظاهريًا,
الترتيبات التنظيمية لهيئة تنمية البحث والتطوير والابتكار,15,15,0,,,,,سليم ظاهريًا,
نظام الأئمة والمؤذنين وخدم المساجد,28,28,0,,,,,سليم ظاهريًا,
نظام نقل الحجاج إلى المملكة وإعادتهم إلى بلادهم,24,24,0,,,,,سليم ظاهريًا,
نظام خدمة حجاج الداخل,33,33,0,,,,,سليم ظاهريًا,
تنظيم معاملة القادمين للمملكة بتأشيرات دخول للحج أو العمرة وغيرها,8,8,0,,,,,سليم ظاهريًا,
تنظيم خدمات المعتمرين وزوار المسجد النبوي الشريف القادمين من خارج المملكة,14,14,0,,,,,سليم ظاهريًا,
تنظيم الرئاسة العامة لهيئة الأمر بالمعروف والنهي عن المنكر,12,12,0,,,,,سليم ظاهريًا,
تنظيم مجمع الملك عبدالعزيز للمكتبات الوقفية,14,14,0,,,,,سليم ظاهريًا,
نظام مقدمي خدمة حجاج الخارج,23,23,0,,,,,سليم ظاهريًا,
تنظيم مجمع خادم الحرمين الشريفين الملك سلمان بن عبدالعزيز ال سعود للحديث النبوي الشريف,18,18,0,,,,,سليم ظاهريًا,
نظام الطرق والمباني,160,160,0,,,,,سليم ظاهريًا,
نظام الإحصاءات العامة للدولة,17,17,0,,,,,سليم ظاهريًا,
نظام تعداد السكان العام,7,7,0,,,,,سليم ظاهريًا,
نظام التصرف في العقارات البلدية,6,6,0,,,,,سليم ظاهريًا,
نظام صندوق التنمية العقارية1394هـ,7,7,0,,,,,سليم ظاهريًا,
نظام البلديات والقرى,49,49,0,,,,,سليم ظاهريًا,
نظام حماية المرافق العامة,15,15,0,,,,,سليم ظاهريًا,
نظام تملك غير السعوديين للعقار واستثماره,8,8,0,,,,,سليم ظاهريًا,
نظام ملكية الوحدات العقارية وفرزها,19,19,0,,,,,سليم ظاهريًا,
نظام التسجيل العيني للعقار 1423هـ,78,78,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العامة للإسكان,14,14,0,,,,,سليم ظاهريًا,
تنظيم تملك مواطني دول المجلس للعقار في الدول الأعضاء بمجلس التعاون لغرض السكن والاستثمار,6,6,0,,,,,سليم ظاهريًا,
نظام الأنشطة المقلقة للراحة أو الخطرة أو المضرة بالصحة أو البيئة,10,10,0,,,,,سليم ظاهريًا,
نظام نزع ملكية العقارات للمنفعة العامة ووضع اليد المؤقت على العقار,27,27,0,,,,,سليم ظاهريًا,
نظام إدارة النفايات البلدية الصلبة,21,21,0,,,,,سليم ظاهريًا,
تنظيم الدعم السكني,25,25,0,,,,,سليم ظاهريًا,
نظام إجراءات التراخيص البلدية,15,15,0,,,,,سليم ظاهريًا,
نظام المجالس البلدية,69,69,0,,,,,سليم ظاهريًا,
نظام رسوم الأراضي البيضاء,15,15,0,,,,,سليم ظاهريًا,
اللائحة التنفيذية لنظام نزع ملكية العقارات للمنفعة العامة ووضع اليد المؤقت على العقار,26,26,0,,,,,سليم ظاهريًا,
اللائحة التنفيذية لنظام رسوم الأراضي البيضاء,18,18,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العامة للعقار,16,16,0,,,,,سليم ظاهريًا,
نظام تطبيق كود البناء السعودي,16,16,0,,,,,سليم ظاهريًا,
تنظيم مؤسسة حديقة الملك سلمان,15,15,0,,,,,سليم ظاهريًا,
لائحة الجزاءات عن المخالفات البلدية,18,18,0,,,,,سليم ظاهريًا,
نظام صندوق التنمية العقارية,18,18,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العامة لعقارات الدولة,16,16,0,,,,,سليم ظاهريًا,
نظام إدارة النفايات,38,38,0,,,,,سليم ظاهريًا,
تنظيم هيئات تطوير المناطق والمدن واللائحة المالية لهيئات تطوير المناطق والمدن واللائحة الإدارية لهيئات تطوير المناطق والمدن,139,139,0,,,,,سليم ظاهريًا,
نظام التسجيل العيني للعقار,40,40,0,,,,,سليم ظاهريًا,
نظام الوساطة العقارية,24,24,0,,,,,سليم ظاهريًا,
نظام استئجار الدولة للعقار,31,31,0,,,,,سليم ظاهريًا,
نظام المساهمات العقارية,38,38,0,,,,,سليم ظاهريًا,
نظام ملكية الوحدات العقارية وفرزها وإدارتها,33,33,0,,,,,سليم ظاهريًا,
نظام بيع وتأجير مشروعات عقارية على الخارطة,30,30,0,,,,,سليم ظاهريًا,
نظام التقاعد العسكري,35,35,0,,,,,سليم ظاهريًا,
نظام الكليات العسكرية,41,41,0,,,,,سليم ظاهريًا,
نظام مجلس الخدمة العسكرية,12,12,0,,,,,سليم ظاهريًا,
نظام الأنواط العسكرية السعودية ولائحته التنظيمية,6,6,0,,,,,سليم ظاهريًا,
نظام الملابس والتجهيزات العسكرية الفردية,28,28,0,,,,,سليم ظاهريًا,
نظام خدمة الضباط,161,161,0,,,,,سليم ظاهريًا,
نظام الوزراء ونواب الوزراء وموظفي المرتبة الممتازة,7,7,0,,,,,سليم ظاهريًا,
نظام التقاعد المدني,39,39,0,,,,,سليم ظاهريًا,
نظام مجلس الخدمة المدنية,11,11,0,,,,,سليم ظاهريًا,
نظام تبادل المنافع بين نظامي التقاعد المدني والعسكري ونظام التأمينات الإجتماعية,6,6,0,,,,,سليم ظاهريًا,
تنظيم المؤسسة العامة للتقاعد,16,16,0,,,,,سليم ظاهريًا,
النظام الموحد لمد الحماية التأمينية لمواطني دول مجلس التعاون لدول الخليج العربية العاملين في غير دولهم في أي دولة عضو في المجلس,23,23,0,,,,,سليم ظاهريًا,
تنظيم هيئة توليد الوظائف ومكافحة البطالة,16,16,0,,,,,سليم ظاهريًا,
تنظيم المركز الوطني لتنمية القطاع غير الربحي,15,15,0,,,,,سليم ظاهريًا,
نظام الانضباط الوظيفي,25,25,0,,,,,سليم ظاهريًا,
نظام توزيع الأراضي البور,12,12,0,,,,,سليم ظاهريًا,
نظام المؤسسة العامة لتحلية المياه المالحة,20,20,0,,,,,سليم ظاهريًا,
نظام المحافظة على مصادر المياه,13,13,0,,,,,سليم ظاهريًا,
نظام مياه الصرف الصحي المعالجة وإعادة استخدامها,34,34,0,,,,,سليم ظاهريًا,
نظام الثروة الحيوانية,21,21,0,,,,,سليم ظاهريًا,
نظام صيد واستثمار وحماية الثروات المائية الحية في المياه الاقليمية للمملكة العربية السعودية,13,13,0,,,,,سليم ظاهريًا,
نظام البحث العلمي البحري في المناطق البحرية التابِعة للمملكة العربية السعودية,19,19,0,,,,,سليم ظاهريًا,
نظام (قانون) الحجر الزراعي لدول مجلس التعاون لدول الخليج العربية,34,34,0,,,,,سليم ظاهريًا,
نظام (قانون) الحجر البيطري لدول مجلس التعاون لدول الخليج العربية,26,26,0,,,,,سليم ظاهريًا,
قانون (نظام) الأسمدة ومحسنات التربة الزراعية في دول مجلس التعاون لدول الخليج العربية,15,15,0,,,,,سليم ظاهريًا,
قانون (نظام) المبيدات في دول مجلس التعاون لدول الخليج العربية,15,15,0,,,,,سليم ظاهريًا,
الترتيب التنظيمي لمصانع المياه,11,11,0,,,,,سليم ظاهريًا,
نظام تربية النحل,16,16,0,,,,,سليم ظاهريًا,
تنظيم الجمعية السعودية للزراعة العضوية,9,9,0,,,,,سليم ظاهريًا,
نظام المناطق البحرية للمملكة العربية السعودية,23,23,0,,,,,سليم ظاهريًا,
نظام الزراعة العضوية,18,18,0,,,,,سليم ظاهريًا,
نظام الأعلاف,39,39,0,,,,,سليم ظاهريًا,
قانون (نظام) الرفق بالحيوان لدول مجلس التعاون لدول الخليج العربية,16,16,0,,,,,سليم ظاهريًا,
تنظيم المؤسسة العامة للحبوب,17,17,0,,,,,سليم ظاهريًا,
النظام الأساسي للمجلس الدولي للتمور,40,40,0,,,,,سليم ظاهريًا,
تنظيم المؤسسة العامة للري,17,17,0,,,,,سليم ظاهريًا,
نظام التعامل مع الموارد الوراثية النباتية للأغذية والزراعة,15,15,0,,,,,سليم ظاهريًا,
نظام مطاحن إنتاج الدقيق,29,29,0,,,,,سليم ظاهريًا,
تنظيم صندوق البيئة,17,17,0,,,,,سليم ظاهريًا,
تنظيم المركز الوطني لأبحاث وتطوير الزراعة المستدامة,12,12,0,,,,,سليم ظاهريًا,
ضوابط تصدير مياه الشرب المعبأة,4,4,0,,,,,سليم ظاهريًا,
نظام المياه,77,77,0,,,,,سليم ظاهريًا,
نظام البيئة,49,49,0,,,,,سليم ظاهريًا,
تنظيم المركز الوطني للوقاية من الآفات النباتية والأمراض الحيوانية ومكافحتها,15,15,0,,,,,سليم ظاهريًا,
تنظيم المركز الوطني لكفاءة وترشيد المياه,14,14,0,,,,,سليم ظاهريًا,
نظام الزراعة,37,37,0,,,,,سليم ظاهريًا,
نظام الأرصاد,20,20,0,,,,,سليم ظاهريًا,
الترتيبات التنظيمية للمركز الوطني للنخيل والتمور,13,13,0,,,,,سليم ظاهريًا,
الترتيبات التنظيمية للهيئة العامة للأمن الغذائي,16,16,0,,,,,سليم ظاهريًا,
