hakeem_article_number,production_title,number_parsed_from_title,production_article_id,seed_number_parsed_from_title,present_in_seed,bm25_code,normalized_text_sha256_16,text_excerpt,issue,severity,recommended_action
11,المادة الحادية عشرة,11,cmpwic3fi020tnxffh53jmvjv,11,نعم,a1271,104fdbd19861d7d1,يجوز اتخاذ موطنٍ مختارٍ لعملٍ معيَّن، ويكون هو الموطن لكل ما يتعلق بهذا العمل؛ ما لم يُشترط صراحةً قصر هذا الموطن على أع,مطابق,—,لا إجراء
12,المادة الثانية عشرة,12,cmpwic3rc020vnxffo1miawuw,12,نعم,a1272,83f0ba8d6e8c60db,كامل الأهلية هو كلُّ شخصٍ بلغ سن الرشد متمتعًا بقواه العقلية ولم يُحجر عليه. سن الرشد هي تمام (ثماني عشرة) سنة هجرية.,مطابق,—,لا إجراء
13,المادة الثالثة عشرة,13,cmpwic436020xnxffrmi6pp26,13,نعم,a1273,371d99d1a4fbac38,عديم الأهلية هو كل شخص فاقدٍ للتمييز لصغرٍ في السن أو لجنون. لا يعدُّ مميزًا من لم يتم (السابعة) من عمره.,مطابق,—,لا إجراء
14,المادة الرابعة عشرة,14,cmpwic4f0020znxffjnym9uin,14,نعم,a1274,0d5625f6bb40afda,ناقصو الأهلية هم: ‌أ- الصغير الذي بلغ سن التمييز ولم يبلغ سن الرشد. ‌ب- المعتوه، وهو ناقص العقل الذي لم يبلغ حد الجنون. ,مطابق,—,لا إجراء
15,المادة الخامسة عشرة,15,cmpwic4qu0211nxff6ifed4cp,15,نعم,a1275,e0a2357c8c73565d,يخضع عديمو الأهلية وناقصوها لأحكام الولاية أو الوصاية بحسب الأحوال، وفقًا لما تقرره النصوص النظامية.,مطابق,—,لا إجراء
16,المادة السادسة عشرة,16,cmpwic52o0213nxffpqet38o4,16,نعم,a1276,fe0c19e85a574ed4,ليس لأحدٍ النزول عن أهليته أو التعديل في أحكامها. الفرع الثاني: الشخص ذو الصفة الاعتبارية,مطابق,—,لا إجراء
17,المادة السابعة عشرة,17,cmpwic5ei0215nxffzyap70go,17,نعم,a1277,b8a2cb72ee09fc01,الأشخاص ذوو الصفة الاعتبارية هم: أ- الدولة. ب- الهيئات والمؤسسات العامة والمصالح التي تمنح شخصية اعتبارية بموجب النصوص ا,مطابق,—,لا إجراء
18,المادة الثامنة عشرة,18,cmpwic5qf0217nxffm33sy81h,18,نعم,a1278,aed0c3b8521253c1,يتمتع الشخص ذو الصفة الاعتبارية بجميع الحقوق إلا ما كان منها ملازمًا لخصائص الشخص ذي الصفة الطبيعية، وذلك في الحدود المق,مطابق,—,لا إجراء
19,المادة التاسعة عشرة,19,cmpwic6290219nxffqaarn4xs,19,نعم,a1279,7691523587317ca4,كل شيء مادي أو غير مادي يصح أن يكون محلًّا للحقوق المالية، عدا الأشياء التي لا تقبل بطبيعتها أن يستأثر أحد بحيازتها، أو ,مطابق,—,لا إجراء
20,المادة العشرون,20,cmpwic6e3021bnxff6qvp38na,20,نعم,a1280,08be653e1e1e2079,المال كلُّ ما له قيمةٌ مادية معتبرة في التعامل من عينٍ أو منفعةٍ أو حقٍّ.,مطابق,—,لا إجراء
21,المادة الحادية والعشرون,21,cmpwic6px021dnxffrmbxytdm,21,نعم,a1281,f47ecf3457c12ded,الأشياء المثلية هي ما تتماثل آحادها أو تتقارب بحيث يمكن أن يقوم بعضها مقام بعض عند الوفاء بلا فرقٍ يُعتد به عرفًا. الأشي,مطابق,—,لا إجراء
22,المادة الثانية والعشرون,22,cmpwic71r021fnxfff9tnra8z,22,نعم,a1282,f03330aca764bfa6,العقار كلُّ شيءٍ ثابتٍ في حيزه لا يمكن نقله منه دون تلفٍ أو تغيُّرٍ في هيئته، وما عدا ذلك فهو منقول. يعدُّ عقارًا بالتخص,مطابق,—,لا إجراء
23,المادة الثالثة والعشرون,23,cmpwic7dm021hnxffo6dtg4h7,23,نعم,a1283,506bbab5bf798e7c,الأشياء القابلة للاستهلاك هي التي ينحصر استعمالها -بحسب ما أُعدّت له- في استهلاكها أو إنفاقها، ويعد قابلًا للاستهلاك كل ,مطابق,—,لا إجراء
24,المادة الرابعة والعشرون تسري على المال العام النصوص النظامية الخاصة به,,cmpwic7pg021jnxffq7t7ipdr,,نعم,a1284,f922a5f66655b1ca,الفصل الرابع: أنواع الحق,عنوان غير قابل للتحليل,متوسطة,فصل النص عن العنوان
25,المادة الخامسة والعشرون,25,cmpwic877021lnxffq9gf365u,25,نعم,a1285,0c790a3924e48071,يكون الحقُّ الماليُّ شخصيًّا أو عينيًّا.,مطابق,—,لا إجراء
26,المادة السادسة والعشرون,26,cmpwic8j0021nnxff490qf51o,26,نعم,a1286,413dc4e1ea5d01e8,يكون الحقُّ العينيُّ أصليًّا أو تبعيًّا. الحقوق العينية الأصلية هي حق الملكية، وحق الانتفاع، وحق الاستعمال، وحق السكنى، ,مطابق,—,لا إجراء
27,المادة السابعة والعشرون,27,cmpwic8uv021pnxff44i0qrvy,27,نعم,a1287,917676cb93bad69d,تسري على الحقوق التي ترد على شيءٍ غير مادي النصوص النظامية الخاصة بها. الفصل الخامس: استعمال الحق,مطابق,—,لا إجراء
28,المادة الثامنة والعشرون,28,cmpwic96o021rnxff7k4fermp,28,نعم,a1288,830da75209fe460d,من استعمل حقه استعمالًا مشروعًا لا يكون مسؤولًا عما ينشأ عن ذلك من ضرر.,مطابق,—,لا إجراء
29,المادة التاسعة والعشرون,29,cmpwic9ij021tnxffkyzxx34m,29,نعم,a1289,2a3eedaf0e83045a,لا يجوز التعسف في استعمال الحق. يكون استعمال الحق تعسفيًّا في الحالات الآتية: أ- إذا لم يقصد بالاستعمال سوى الإضرار بالغ,مطابق,—,لا إجراء
30,المادة الثلاثون,30,cmpwic9ue021vnxffwams02gf,30,نعم,a1290,a29e4787ad371658,تطبق الأحكام الواردة في هذا الفصل على العقود المسماة وغير المسماة، وذلك دون إخلال بالأحكام الواردة في النصوص النظامية ال,مطابق,—,لا إجراء
31,المادة الحادية والثلاثون,31,cmpwica69021xnxff9rohiqk5,31,نعم,a1291,c85bf6bfb8b855c2,ينشأ العقد بارتباط الإيجاب بالقبول لإحداث أثر نظامي، مع مراعاة ما تقرره النصوص النظامية من أوضاعٍ معيّنةٍ لانعقاد العقد.,مطابق,—,لا إجراء
32,المادة الثانية والثلاثون,32,cmpwicai3021znxffpg43irew,32,نعم,a1292,a45da0a6bc8220c9,يتحقق الرضى إذا توافقت إرادتا متعاقدين (أو أكثر) لديهما أهلية التعاقد وعُبِّر عن الإرادة بما يدل عليها. 1- التعبير عن ال,مطابق,—,لا إجراء
33,المادة الثالثة والثلاثون,33,cmpwicatx0221nxffw3ebyasz,33,نعم,a1293,cabbdcab1bfa1d15,يكون الإيجاب والقبول بكل ما يدل على الإرادة. يجوز أن يكون التعبير عن الإرادة باللفظ أو بالكتابة أو بالإشارة المفهومة أو ,مطابق,—,لا إجراء
34,المادة الرابعة والثلاثون,34,cmpwicb5r0223nxffpxkelkre,34,نعم,a1294,a0ef0bf7064b7b1e,يعد عرض البضائع والخدمات مع بيان ثمنها إيجابًا، إلا إذا قامت دلائل تفيد خلاف ذلك. لا يعدُّ الإعلان مع بيان الأسعار المتع,مطابق,—,لا إجراء
35,المادة الخامسة والثلاثون,35,cmpwicbhm0225nxff5bdorni3,35,نعم,a1295,1676815ee65ec432,للموجب أن يعدل عن الإيجاب قبل صدور القبول؛ ما لم تكن للإيجاب مدةٌ معينة. إذا لم تكن للإيجاب مدة معينة؛ فعلى الموجب إذا ع,مطابق,—,لا إجراء
36,المادة السادسة والثلاثون,36,cmpwicbtg0227nxffxg9srjlx,36,نعم,a1296,afb98265bf40f8f5,يسقط الإيجاب في الحالات الآتية: أ- إذا عدل عنه الموجب وفق أحكام المادة (الخامسة والثلاثين) من هذا النظام. ب- إذا رفضه من,مطابق,—,لا إجراء
37,المادة السابعة والثلاثون,37,cmpwicc5b0229nxffewqk1l0b,37,نعم,a1297,9008d2e7350d2469,لا يعد سكوت من وجه إليه الإيجاب قبولًا إلا إذا كان هناك اتفاقٌ أو وجدت قرينة تدل على ذلك. يعد السكوت قبولًا إذا كان هناك,مطابق,—,لا إجراء
38,المادة الثامنة والثلاثون,38,cmpwicch4022bnxffxsgx5r9b,38,نعم,a1298,0a560fb4c4f2708c,إذا كان المتعاقدان حاضرين في مكانٍ واحدٍ أو في مكانين مختلفين عبر وسائل الاتصال المباشرة؛ عُدَّ العقد قد تمَّ في الزمان ,مطابق,—,لا إجراء
39,المادة التاسعة والثلاثون,39,cmpwiccsz022dnxffyl8zxymq,39,نعم,a1299,6cf81c7167ecc264,دون إخلال بالنصوص النظامية؛ لا يتم العقد في المزايدات إلا برسو المزايدة، ويسقط العطاء بعطاء يزيد عليه ولو وقع باطلًا، أو,مطابق,—,لا إجراء
40,المادة الأربعون,40,cmpwicd4t022fnxffo0z04rbp,40,نعم,a1300,fd49d3a9030ef2e4,القبول في عقود الإذعان يقتصر على مجرد التسليم بشروط مقررة يضعها الموجب ولا يقبل مناقشة فيها.,مطابق,—,لا إجراء
41,المادة الحادية والأربعون,41,cmpwicdgn022hnxff8upkfxt2,41,نعم,a1301,6f71d403569fc422,ذا تمَّ التفاوض على عقد فلا يرتب ذلك على أطراف التفاوض التزامًا بإبرام هذا العقد، ومع ذلك يكون من يتفاوض أو يُنهي التفاو,مطابق,—,لا إجراء
42,المادة الثانية والأربعون,42,cmpwicdsh022jnxfftrw7xycy,42,نعم,a1302,fa60434003bbebcc,إذا اتفق المتعاقدان على المسائل الجوهرية في العقد وعلى إرجاء الاتفاق على المسائل غير الجوهرية؛ كان ذلك كافيًا لاعتبار ال,مطابق,—,لا إجراء
43,المادة الثالثة والأربعون,43,cmpwice4b022lnxff8enjfonj,43,نعم,a1303,86a081408d73cf4b,لا يكون الوعد الذي يتعهد بمقتضاه أحد الطرفين أو كلاهما بإبرام عقدٍ في المستقبل ملزمًا إلا إذا عُيّنت المسائل الجوهرية في,مطابق,—,لا إجراء
44,المادة الرابعة والأربعون,44,cmpwiceg7022nnxffgemo4vt9,44,نعم,a1304,a6b73c5d19c7ec91,دفع العربون عند إبرام العقد يفيد أن لدافع العربون وحده الحق في العدول عن العقد، وليس له إذا عدل أن يسترد مبلغ العربون، و,مطابق,—,لا إجراء
45,المادة الخامسة والأربعون,45,cmpwices1022pnxffomo0dhz5,45,نعم,a1305,646652d6a8edd1bf,الاتفاق الإطاري عقدٌ يُحدد المتعاقدان بمقتضاه البنود الأساسية التي تخضع لها العقود التي ينشئها المتعاقدان بينهما وفقًا ل,مطابق,—,لا إجراء
46,المادة السادسة والأربعون,46,cmpwicf3y022rnxffgrkqltsq,46,نعم,a1306,647fbbf7a7e4e2b1,إذا أحال المتعاقدان صراحةً أو ضمنًا في العقد إلى أحكام وثيقةٍ نموذجيَّةٍ أو قواعد محددة أو أي وثيقة أخرى عُدَّت جزءًا من,مطابق,—,لا إجراء
47,المادة السابعة والأربعون,47,cmpwicffs022tnxff7y9rcwvy,47,نعم,a1307,f115e020cd8ac561,كل شخصٍ أهلٌ للتصرف؛ ما لم يكن عديم الأهلية أو ناقصها بمقتضى نص نظامي.,مطابق,—,لا إجراء
48,المادة الثامنة والأربعون,48,cmpwicfro022vnxff0e7ihvhk,48,نعم,a1308,4685a6ecaedcb8eb,الصغير ولو كان مميزًا والمجنون والمعتوه محجورٌ عليهم بحكم النِّظام. يكون الحجر على السفيه وذي الغفلة ورفعه عنهما بحكم ال,مطابق,—,لا إجراء
49,المادة التاسعة والأربعون,49,cmpwicg3h022xnxffkwphbtt0,49,نعم,a1309,18f44a2d06285c18,تصرفات الصغير غير المميز باطلة.,مطابق,—,لا إجراء
50,المادة الخمسون,50,cmpwicgfc022znxfffmzw7tkq,50,نعم,a1310,2b195a4c86b588f5,إذا كانت تصرفات الصغير المميز نافعةً نفعًا محضًا فهي صحيحة، وإذا كانت ضارةً ضررًا محضًا فهي باطلة. إذا كانت تصرفات الصغي,مطابق,—,لا إجراء
51,المادة الحادية والخمسون,51,cmpwicgr60231nxfftps185jj,51,نعم,a1311,8eb403c4917ed002,إذا أتمَّ الصغير (الخامسة عشرة) من عمره فلوليه أو وصيه -دون إخلال بما تقضي به المادتان (الرابعة والخمسون) و(الخامسة والخ,مطابق,—,لا إجراء
52,المادة الثانية والخمسون,52,cmpwich300233nxffeowrfqrg,52,نعم,a1312,a1ef5dae22428038,تصرفات المعتوه في حكم تصرفات الصغير المميز. تصرفات المجنون في حكم تصرفات الصغير غير المميز.,مطابق,—,لا إجراء
53,المادة الثالثة والخمسون,53,cmpwicheu0235nxffenra7bu5,53,نعم,a1313,6e8d988d7f125b34,تصرفات السفيه وذي الغفلة بعد الحجر عليهما في حكم تصرفات الصغير المميز، أما تصرفاتهما قبل الحجر فصحيحةٌ إلا إذا كانت نتيج,مطابق,—,لا إجراء
54,المادة الرابعة والخمسون,54,cmpwichqo0237nxff52cww3zo,54,نعم,a1314,9d5c3267fb0ad492,تسري على المسائل المتعلقة بالولاية والوصاية النصوص النظامية الخاصة بها.,مطابق,—,لا إجراء
55,المادة الخامسة والخمسون,55,cmpwici2j0239nxffnzhtte4r,55,نعم,a1315,96cc4c0987735ebe,تعدُّ التصرفات الصادرة عن الأولياء والأوصياء صحيحةً في الحدود التي تقررها النصوص النظامية.,مطابق,—,لا إجراء
56,المادة السادسة والخمسون,56,cmpwiciee023bnxffuavulhfb,56,نعم,a1316,11d91c56a8c182f3,إذا لجأ ناقص الأهلية إلى طرقٍ احتياليَّةٍ لإخفاء نقص أهليته لزمه التعويض عن الضرر الذي أصاب المتعاقد معه بسبب إبطال العق,مطابق,—,لا إجراء
57,المادة السابعة والخمسون,57,cmpwiciq8023dnxffqr245wxo,57,نعم,a1317,2e70ff145a03f78b,للمتعاقد طلب إبطال العقد إذا وقع في غلط جوهري لولاه لم يرض بالعقد، وبخاصة إذا كان الغلط الجوهري في صفة المحل أو شخص المت,مطابق,—,لا إجراء
58,المادة الثامنة والخمسون,58,cmpwicj22023fnxffy4h5w3u8,58,نعم,a1318,0263759619dd7aa1,لا يُعتد بغلط المتعاقد إلا إذا كان المتعاقد الآخر قد وقع معه في الغلط نفسه أو علم بوقوعه فيه أو كان من السهل عليه أن يتب,مطابق,—,لا إجراء
59,المادة التاسعة والخمسون,59,cmpwicjdw023hnxff6ianjp1o,59,نعم,a1319,0dffc85fb8b28bb5,لا يؤثر في العقد مجرد الغلط المادي في الحساب أو الكتابة.,مطابق,—,لا إجراء
60,المادة الستون,60,cmpwicjvm023jnxffrmlykcjo,60,نعم,a1320,4405e4fb1df17e64,ليس لمن وقع في غلطٍ أن يتمسك به على وجه يتعارض مع ما يقضي به حسن النية، ويكون ملزمًا بالعقد الذي قصد إبرامه إذا أظهر الم,مطابق,—,لا إجراء
61,المادة الحادية والستون,61,cmpwick7h023lnxffqazjq2ny,61,نعم,a1321,90b40d9f7485848a,التغرير أن يخدع أحد المتعاقدين الآخر بطرق احتياليَّةٍ تحمله على إبرام عقد لم يكن ليبرمه لولاها. يعد تغريرًا تعمد السكوت ,مطابق,—,لا إجراء
62,المادة الثانية والستون,62,cmpwickjc023nnxffc69oldoj,62,نعم,a1322,5cceaa60e8d912fe,للمغرر به طلب إبطال العقد إذا كان التغرير في أمر جوهري لولاه لم يرض بالعقد.,مطابق,—,لا إجراء
63,المادة الثالثة والستون,63,cmpwickve023pnxff5priqj9e,63,نعم,a1323,3ca1d9dbd0d2b12e,إذا صدر التغرير من غير المتعاقدين فليس للمغرر به أن يطلب إبطال العقد؛ ما لم يثبت أن المتعاقد الآخر كان يعلم بالتغرير أو ,مطابق,—,لا إجراء
64,المادة الرابعة والستون,64,cmpwicl78023rnxff60oqh69u,64,نعم,a1324,5825f9390435a5d6,الإكراه تهديد شخصٍ دون حقٍّ بوسيلةٍ ماديَّةٍ أو معنويَّةٍ تُخيفه فتحمله على التصرف.,مطابق,—,لا إجراء
65,المادة الخامسة والستون,65,cmpwiclj4023tnxffcyf277hj,65,نعم,a1325,cee5f0212dbc5c06,يتحقق الإكراه إذا كان التهديد بخطرٍ جسيمٍ محدقٍ يلحق بنفس المكرَه أو عرضه أو ماله، أو كان التهديد مسلَّطًا على غيره ولم ,مطابق,—,لا إجراء
66,المادة السادسة والستون,66,cmpwiclv0023vnxfffpptpgfo,66,نعم,a1326,b0340cf938cbc22f,يُراعى في تقدير الإكراه سن من وقع عليه الإكراه وحالته الاجتماعية والصحية وكل ظرف آخر من شأنه أن يؤثر في جسامة الإكراه.,مطابق,—,لا إجراء
67,المادة السابعة والستون,67,cmpwicm70023xnxffbp78xim4,67,نعم,a1327,9afbf3d5d274bab5,للمُكرَه طلب إبطال العقد إذا صدر الإكراه من المتعاقد الآخر. إذا صدر الإكراه من غير المتعاقدين فليس للمُكرَه طلب إبطال ال,مطابق,—,لا إجراء
68,المادة الثامنة والستون,68,cmpwicmiu023znxffkt8lgaf8,68,نعم,a1328,512b1802eb201895,إذا استغل أحد المتعاقدين ضعفًا ظاهرًا أو حاجة ملحة في المتعاقد الآخر، لإبرام عقدٍ لحقه منه غبنٌ، فللمحكمة بناء على طلب ا,مطابق,—,لا إجراء
69,المادة التاسعة والستون,69,cmpwicmuo0241nxffor8hhs2d,69,نعم,a1329,13ddec52c58337a7,الغبن زيادة العوض أو نقصه قدرًا خارجًا عن المعتاد. ويُرجع في تحديد الغبن إلى العرف. ليس للمتعاقد طلب إبطال العقد لمجرد ا,مطابق,—,لا إجراء
70,المادة السبعون,70,cmpwicn6i0243nxff0j4s9w4r,70,نعم,a1330,451fed82e2cc0cf1,يصحُّ أن يكون محلُّ الالتزام نقل حق عيني أو عملًا أو امتناعًا عن عمل.,مطابق,—,لا إجراء
71,المادة الحادية والسبعون,71,cmpwicnid0245nxffdc1gd8ld,71,نعم,a1331,68438e2df6204046,يصح أن يكون محل الالتزام شيئًا مستقبلًا معيَّنًا بنوعه ومقداره، وفيما عدا الأحوال التي تجيزها النصوص النظامية لا يصح أن ,مطابق,—,لا إجراء
72,المادة الثانية والسبعون,72,cmpwicnu70247nxff24dqjfth,72,نعم,a1332,5efda08ee6cba980,يجب أن تتوفر في محل الالتزام الشروط الآتية: أ- أن يكون ممكنًا في ذاته. ب- ألا يكون مخالفًا للنظام العام. ج- أن يكون معيّ,مطابق,—,لا إجراء
73,المادة الثالثة والسبعون,73,cmpwico610249nxffxy1f73cq,73,نعم,a1333,8ad0dd359235dbc8,إذا لم يحدِّد المتعاقدان مقدار المحل وتضمن العقد ما يمكن للمحكمة تحديده به؛ حددته بناءً على ذلك. إذا لم يتفق المتعاقدان ,مطابق,—,لا إجراء
74,المادة الرابعة والسبعون,74,cmpwicohw024bnxfft65rpzik,74,نعم,a1334,2a4d1ede7896a4d0,يجوز أن يتضمن العقد أي شرطٍ يرتضيه المتعاقدان إذا توفرت فيه الشروط الواردة في الفقرة (1) من المادة (الثانية والسبعين) من,مطابق,—,لا إجراء
75,المادة الخامسة والسبعون,75,cmpwicotq024dnxffqm3z259f,75,نعم,a1335,94a747f5cced678a,يقع باطلًا أي عقد يكون السبب الباعث على التعاقد فيه غير مشروع إذا صُرِّح به في العقد أو دلت عليه ظروف التعاقد.,مطابق,—,لا إجراء
76,المادة السادسة والسبعون,76,cmpwicp5k024fnxffto0876o2,76,نعم,a1336,eb2b9c31d20ecf32,كل عقد لم يُذكر سببه يُفترض أن له سببًا مشروعًا؛ ما لم يقم الدليل على خلاف ذلك. الفرع الثاني: إبطال العقد وبطلانه أولًا:,مطابق,—,لا إجراء
77,المادة السابعة والسبعون,77,cmpwicphf024hnxffyuruu0ls,77,نعم,a1337,4c0b589395589c5e,إذا جعل نص نظامي لأحد المتعاقدين الحق في طلب إبطال العقد؛ فليس للمتعاقد الآخر أن يتمسك بهذا الحق.,مطابق,—,لا إجراء
78,المادة الثامنة والسبعون,78,cmpwicpt9024jnxff76nfxj7c,78,نعم,a1338,1784cf32090ffbbe,يسقط الحق في طلب إبطال العقد بالإجازة الصريحة أو الضمنية إذا صدرت ممن له هذا الحق، وإذا أجاز العقد استندت الإجازة إلى وق,مطابق,—,لا إجراء
79,المادة التاسعة والسبعون,79,cmpwicq54024lnxff32r5wovu,79,نعم,a1339,fb1255c6507c9a18,لا تسمع دعوى إبطال العقد إذا انقضت (سنة) من تاريخ العلم بسبب الإبطال، وإذا كان إبطال العقد لنقص الأهلية أو الإكراه فبانق,مطابق,—,لا إجراء
80,المادة الثمانون,80,cmpwicqgx024nnxff794mmvlm,80,نعم,a1340,5cea6a33ef8d6aef,يجوز لكل ذي مصلحةٍ أن يُعذِر من له حق إبطال العقد بإبداء رغبته في إجازة العقد أو إبطاله خلال مدة لا تقل عن (تسعين) يومًا,مطابق,—,لا إجراء
81,المادة الحادية والثمانون,81,cmpwicqss024pnxff6ijcppk5,81,نعم,a1341,be3475749446da1e,إذا وقع العقد باطلًا جاز لكل ذي مصلحة أن يتمسك بالبطلان، وللمحكمة أن تقضي به من تلقاء نفسها، ولا يزول البطلان بالإجازة. ,مطابق,—,لا إجراء
82,المادة الثانية والثمانون,82,cmpwicr4o024rnxff7eumq0ga,82,نعم,a1342,9638760d08ff0ff6,في حالتي إبطال العقد أو بطلانه، يعود المتعاقدان إلى الحالة التي كانا عليها قبل التعاقد، وإذا استحال ذلك جاز أن يُقضى بال,مطابق,—,لا إجراء
83,المادة الثالثة والثمانون,83,cmpwicrgj024tnxff5kp5fonc,83,نعم,a1343,2f8a7569b12bfd98,في حالتي إبطال العقد أو بطلانه لنقص أهلية المتعاقد أو انعدامها، لا يلزمه أن يرد غير ما عاد عليه من منفعة معتبرة بسبب تنف,مطابق,—,لا إجراء
84,المادة الرابعة والثمانون,84,cmpwicrsd024vnxffh176nvso,84,نعم,a1344,836d78b70c603ac9,إذا كان العقد في جزء منه باطلًا أو يجوز إبطاله؛ يبطل ذلك الجزء فقط، إلا إذا تبين أن المتعاقد ما كان ليرضى بالعقد دون ذلك,مطابق,—,لا إجراء
85,المادة الخامسة والثمانون,85,cmpwics47024xnxff247ko8gz,85,نعم,a1345,c12e1eec96d60b6c,إذا توفرت في العقد الباطل أركان عقد آخر؛ انعقد هذا العقد إذا تبين أن إرادة المتعاقدين كانت تنصرف إليه.,مطابق,—,لا إجراء
86,المادة السادسة والثمانون,86,cmpwicsg7024znxffju4zy9j8,86,نعم,a1346,92e9a10360aa2adc,لا يحتج بإبطال العقد تجاه الخلف الخاص للمتعاقد إذا كسب حقًّا عينيًّا معاوضة بحسن نية. يعد الخلفُ الخاصُّ حسنَ النية إذا ,مطابق,—,لا إجراء
87,المادة السابعة والثمانون,87,cmpwicss30251nxff9qb683io,87,نعم,a1347,280dad64724332a8,يصح التعاقد بالنيابة؛ ما لم تقتض النصوص النظامية خلاف ذلك. تكون النيابة في التعاقد اتفاقيةً أو قضائيةً أو نظاميةً.,مطابق,—,لا إجراء
88,المادة الثامنة والثمانون,88,cmpwict420253nxff29zxx55i,88,نعم,a1348,a467d9bf554c9324,ليس للنائب أن يتجاوز حدود نيابته المعيَّنة في سند إنشائها، سواء أكان السند عقدًا أم حكمًا قضائيًّا أم نصًّا نظاميًّا.,مطابق,—,لا إجراء
89,المادة التاسعة والثمانون,89,cmpwictfw0255nxffkk6y8mfp,89,نعم,a1349,0cb7ca8bd9860b9e,في التعاقد بالنيابة يكون شخص النائب هو المعتبر في عيوب الرضى، وفي أثر العلم بالأمور التي يختلف فيها حكم العقد بين علم ال,مطابق,—,لا إجراء
90,المادة التسعون,90,cmpwictrp0257nxffhxqe3eha,90,نعم,a1350,f200d846446dd113,إذا تعاقد النائب في حدود نيابته باسم الأصيل فإن ما ينشأ عن العقد من حقوقٍ والتزاماتٍ يُضاف إلى الأصيل.,مطابق,—,لا إجراء
91,المادة الحادية والتسعون,91,cmpwicu3k0259nxffqjq565q5,91,نعم,a1351,095e90de237d2d32,إذا لم يُعلِم النائبُ المتعاقدَ الآخرَ وقت إنشاء العقد أنَّه تعاقد بصفته نائبًا؛ فإنَّ أثر العقد لا يُضاف إلى الأصيل دائ,مطابق,—,لا إجراء
92,المادة الثانية والتسعون,92,cmpwicufe025bnxffr0btnr3o,92,نعم,a1352,b1d1782782e792d0,إذا كان النائب والمتعاقد معه يجهلان معًا عند التعاقد انتهاء النيابة؛ فإن العقد يُضاف إلى الأصيل.,مطابق,—,لا إجراء
93,المادة الثالثة والتسعون,93,cmpwicur9025dnxff59gy9xqk,93,نعم,a1353,a82cf2ffa798c15b,لا يجوز للنائب أن يتعاقد مع نفسه بمقتضى نيابته دون أن يكون مأذونًا له بذلك سواء أكان تعاقده مع نفسه لحسابه أم لحساب الغي,مطابق,—,لا إجراء
